name,term,count
English,11W,121
History,99W,121
Mathematics,02F,121
"Film, Television, and Digital Media",02W,121
History,18F,121
History,16S,121
History,20W,120
English,08S,120
History,04W,120
English,13F,120
Management,00S,119
"Film, Television, and Digital Media",00F,119
"Film, Television, and Digital Media",05W,119
Mathematics,07S,119
Mathematics,00F,118
English,18S,118
"Film, Television, and Digital Media",19F,118
English,15S,117
Mathematics,03S,117
English,14S,117
History,15F,117
English,09F,116
English,14F,116
History,16F,116
"Film, Television, and Digital Media",00S,116
History,00S,116
English,05S,116
"Film, Television, and Digital Media",19S,115
Mathematics,00W,115
English,11F,115
Theater,99W,115
"Film, Television, and Digital Media",05S,115
Mathematics,01S,115
History,19F,115
Physics and Astronomy,20W,115
English,12W,115
English,12S,114
Mathematics,13S,114
Physics and Astronomy,19F,114
English,12F,114
"Film, Television, and Digital Media",99F,113
Theater,99S,113
English,13S,112
History,13F,112
"Film, Television, and Digital Media",01S,112
History,01S,112
History,99S,112
"Film, Television, and Digital Media",01W,111
History,00W,111
"Film, Television, and Digital Media",19W,111
English,10F,110
"Film, Television, and Digital Media",99W,110
Mathematics,04S,110
History,01W,110
"Film, Television, and Digital Media",04S,109
Mathematics,05F,109
History,03F,108
Mathematics,99W,107
History,03W,107
Management,01W,107
Management,99F,106
History,02S,106
Management,02W,106
"Film, Television, and Digital Media",20S,105
Mathematics,04F,105
Mathematics,00S,105
History,99F,104
"Film, Television, and Digital Media",99S,104
History,03S,102
Mathematics,99F,102
Management,04W,101
Mathematics,99S,100
English,20S,99
Management,02F,99
History,01F,98
English,10S,97
"Film, Television, and Digital Media",20W,96
History,02F,96
History,19S,94
Management,03W,91
Management,03F,91
History,00F,89
History,20S,88
Management,00F,83
Management,01F,73
