id,term,instructors
1323,20W,"[""Rensel, M.A."",""Schlinger, B.""]"
2968,20W,"[""No instructors""]"
699,20W,"[""Moio, J.A.""]"
358,20W,"[""Groeling, T.J.""]"
5227,20W,"[""Kaback, H.R.""]"
1669,20W,"[""Eisenberg, D.S.""]"
3458,20W,"[""Colwell, C.S.""]"
3740,20W,"[""Quon, S.""]"
2635284,20W,"[""Miceli, M.C.""]"
2222,20W,"[""Herman, R.R.""]"
3801,20W,"[""Cong, J.J.""]"
1294,20W,"[""Wen, P.J.""]"
629,20W,"[""Joo, J.""]"
164,20W,"[""Abe, H.""]"
1399,20W,"[""Heuveline, P.C.""]"
3854,20W,"[""Walker, E.T.""]"
2518,20W,"[""Azencot, O.""]"
1868,20W,"[""No instructors""]"
707,20W,"[""Firstenberg, I."",""Murray, C.A."",""Serrano Careaga, J""]"
3037,20W,"[""Guedon, C.""]"
3524,20W,"[""Mehta, A.M.""]"
2844,20W,"[""Weisburst, E.K."",""Danly, J.""]"
1225,20W,"[""Emigh, R.J."",""Liu, K.""]"
852,20W,"[""Morris, M.B.""]"
344,20W,"[""Huppin, M.A.""]"
749,20W,"[""Gentile, S.I.""]"
5277,20W,"[""Omwami, E.S.""]"
2619,20W,"[""Mcgrath, N.E."",""Spruill, M.J.""]"
2762,20W,"[""Schmidt, J.J.""]"
4051,20W,"[""Chen, M.K.""]"
997,20W,"[""Allakhverdyan, B.V""]"
1950,20W,"[""No instructors""]"
3530489,20W,"[""Fox, M.M.""]"
3812,20W,"[""Hartenstein, V.""]"
4102,20W,"[""Johnson, K.""]"
664,20W,"[""Musumeci, P.""]"
3343,20W,"[""Ju, H.""]"
4785,20W,"[""Adhikari, A.""]"
5390,20W,"[""Cross, T.J.""]"
1754,20W,"[""Nguyen, T.B.""]"
1649,20W,"[""Lee, P.""]"
3954,20W,"[""Bouriakov, D.""]"
3998,20W,"[""Chung, A.S.""]"
3850,20W,"[""Kaplan, D.""]"
4826,20W,"[""No instructors""]"
2492412,20W,"[""Quinlan, M.E.""]"
2819,20W,"[""Scerri, E.R.""]"
1584,20W,"[""Bui, C.V.""]"
4642,20W,"[""Jang, Y.""]"
2163,20W,"[""Chatterjee, S.""]"
3218,20W,"[""Armenta, A.""]"
950,20W,"[""Goncalves, F.M.""]"
477,20W,"[""Stigler, J.W."",""Fries, L.C."",""Tucker, M.C.""]"
5193,20W,"[""Hansen, M.P.""]"
3023,20W,"[""Briggs, D.M.""]"
1654,20W,"[""Yin, W.E.""]"
4645,20W,"[""Anderson, D.P."",""Bastos Do Nascimen"",""Mallampalli, D.""]"
3500,20W,"[""Santos Trinidad, C""]"
4812,20W,"[""Fessler, D.""]"
4538,20W,"[""Lai, Y."",""Holloway, H."",""Pogas, G.""]"
819,20W,"[""Helou, A.N.""]"
4520,20W,"[""No instructors""]"
88,20W,"[""No instructors""]"
2856,20W,"[""Burke, K.S.""]"
166,20W,"[""Mcdonald, W.C.""]"
3189,20W,"[""Karvonides, C.""]"
4206,20W,"[""Nowatzki, A.J.""]"
2241259,20W,"[""Jeste, S.S.""]"
5303,20W,"[""Rahmat-Samii, Y.""]"
4872,20W,"[""Nakano, A.""]"
2964,20W,"[""Lee, S.""]"
5334,20W,"[""Guzman, J.J.""]"
3012,20W,"[""Duval, E.""]"
2269424,20W,"[""Adelman, H.S.""]"
1984,20W,"[""Shevtsov, Y."",""Casas Goncalves, G""]"
4613,20W,"[""Pons, M.C.""]"
1803,20W,"[""Dutton, G.E.""]"
2434790,20W,"[""Aharoni, D.B.""]"
1734,20W,"[""Sweeney, M.M."",""Collett, J.L.""]"
851,20W,"[""No instructors""]"
3253,20W,"[""Diamond, A.G."",""Goyal, Y.""]"
3913,20W,"[""Grundfest, W.""]"
3571226,20W,"[""Gonzalez, O.O.""]"
2003,20W,"[""Manouelian, V.H.""]"
4729,20W,"[""Long, J.A.""]"
3088962,20W,"[""Coller, H.A.""]"
4813,20W,"[""Chen, G.""]"
1350,20W,"[""Wagar, P.M.""]"
