section_id,enrollment_count,created_at
5868257,46,2019-10-03T06:01:43.299794+00:00
5859490,117,2019-10-03T06:01:45.961063+00:00
5866521,272,2019-10-03T06:01:47.359754+00:00
5866468,273,2019-10-03T06:01:48.489219+00:00
5865449,146,2019-10-03T06:01:51.496817+00:00
5863072,18,2019-10-03T06:01:51.622395+00:00
5866370,57,2019-10-03T06:01:51.626751+00:00
5858353,19,2019-10-03T06:01:51.846224+00:00
5865009,22,2019-10-03T06:01:57.901647+00:00
5866497,0,2019-10-03T06:02:08.118525+00:00
5860683,15,2019-10-03T07:00:09.327747+00:00
5862492,305,2019-10-03T07:00:10.109317+00:00
5861503,205,2019-10-03T07:00:10.127425+00:00
5858432,49,2019-10-03T07:00:10.506377+00:00
5859324,233,2019-10-03T07:00:10.547738+00:00
5867591,0,2019-10-03T07:00:10.582077+00:00
5862623,0,2019-10-03T07:00:10.962876+00:00
5867435,134,2019-10-03T07:00:13.102562+00:00
5867109,15,2019-10-03T07:00:13.483247+00:00
5865105,120,2019-10-03T07:00:13.859881+00:00
5866910,109,2019-10-03T07:00:14.394983+00:00
5859700,26,2019-10-03T07:00:14.400511+00:00
5858272,24,2019-10-03T07:00:18.17485+00:00
5864634,357,2019-10-03T07:00:19.86685+00:00
5867261,5,2019-10-03T07:00:20.30112+00:00
5866809,121,2019-10-03T07:00:21.283243+00:00
5865032,21,2019-10-03T07:00:21.899967+00:00
5865057,23,2019-10-03T07:00:22.128672+00:00
5867186,5,2019-10-03T07:00:27.374817+00:00
5862658,114,2019-10-03T07:00:31.263878+00:00
5868401,226,2019-10-03T07:00:31.273309+00:00
5862124,17,2019-10-03T07:00:32.601515+00:00
5868229,137,2019-10-03T07:00:33.822052+00:00
5861345,105,2019-10-03T07:00:34.829278+00:00
5861332,6,2019-10-03T07:00:34.834527+00:00
5864057,190,2019-10-03T07:00:35.416328+00:00
5863155,40,2019-10-03T07:00:35.617373+00:00
5858223,20,2019-10-03T07:00:36.175391+00:00
5865354,190,2019-10-03T07:00:39.990299+00:00
5867327,16,2019-10-03T07:00:39.990855+00:00
5864422,48,2019-10-03T07:00:40.463645+00:00
5866950,149,2019-10-03T07:00:40.904571+00:00
5860372,36,2019-10-03T07:00:45.304364+00:00
5860608,78,2019-10-03T07:00:46.811056+00:00
5860653,55,2019-10-03T07:00:47.265075+00:00
5862139,28,2019-10-03T07:00:48.350853+00:00
5864799,7,2019-10-03T07:00:48.356551+00:00
5864969,0,2019-10-03T07:00:49.242854+00:00
5868403,237,2019-10-03T07:00:49.461414+00:00
5866076,334,2019-10-03T07:00:49.583082+00:00
5860538,137,2019-10-03T07:00:50.016516+00:00
5866646,18,2019-10-03T07:00:53.661476+00:00
5860662,23,2019-10-03T07:00:54.161507+00:00
5864508,76,2019-10-03T07:00:56.210849+00:00
5866246,28,2019-10-03T07:00:56.277728+00:00
5868414,20,2019-10-03T07:00:56.360612+00:00
