section_id,enrollment_count,created_at
5878918,0,2020-01-21 00:34:18.025451+00
5878932,0,2020-01-21 00:34:18.039054+00
5878933,0,2020-01-21 00:34:18.05426+00
5878936,17,2020-01-21 00:34:18.077142+00
5878937,0,2020-01-21 00:34:18.08202+00
5878939,0,2020-01-21 00:34:18.097084+00
5878945,0,2020-01-21 00:34:18.102191+00
5878948,0,2020-01-21 00:34:18.116492+00
5878950,0,2020-01-21 00:34:18.117953+00
5878946,0,2020-01-21 00:34:18.121118+00
5878953,0,2020-01-21 00:34:18.122225+00
5878954,0,2020-01-21 00:34:18.126445+00
5878959,0,2020-01-21 00:34:18.166641+00
5878961,0,2020-01-21 00:34:18.20877+00
5878962,0,2020-01-21 00:34:18.212152+00
5878963,0,2020-01-21 00:34:18.220344+00
5878966,0,2020-01-21 00:34:18.239505+00
5878965,0,2020-01-21 00:34:18.240908+00
5878967,0,2020-01-21 00:34:18.242461+00
5878969,0,2020-01-21 00:34:18.254456+00
5878970,0,2020-01-21 00:34:18.272661+00
5878971,0,2020-01-21 00:34:18.319861+00
5878972,0,2020-01-21 00:34:18.346132+00
5878979,0,2020-01-21 00:34:18.375594+00
5878981,0,2020-01-21 00:34:18.383771+00
5878983,0,2020-01-21 00:34:18.392547+00
5878985,0,2020-01-21 00:34:18.399022+00
5878984,0,2020-01-21 00:34:18.399231+00
5878987,0,2020-01-21 00:34:18.415787+00
5878986,0,2020-01-21 00:34:18.416014+00
5878992,0,2020-01-21 00:34:18.437732+00
5878990,0,2020-01-21 00:34:18.442939+00
5878996,0,2020-01-21 00:34:18.473795+00
5879002,0,2020-01-21 00:34:18.488205+00
5879028,0,2020-01-21 00:34:18.545877+00
5879036,0,2020-01-21 00:34:18.598688+00
5879042,0,2020-01-21 00:34:18.630489+00
5879048,0,2020-01-21 00:34:18.662478+00
5879049,0,2020-01-21 00:34:18.67215+00
5879051,0,2020-01-21 00:34:18.689966+00
5879031,0,2020-01-21 00:34:18.695269+00
5879053,0,2020-01-21 00:34:18.696927+00
5879063,0,2020-01-21 00:34:18.800246+00
5879067,0,2020-01-21 00:34:18.81132+00
5879070,0,2020-01-21 00:34:18.819283+00
5879073,0,2020-01-21 00:34:18.831424+00
5879075,0,2020-01-21 00:34:18.842252+00
5879090,0,2020-01-21 00:34:19.080067+00
5879096,0,2020-01-21 00:34:19.088759+00
5879097,30,2020-01-21 00:34:19.133146+00
5879102,0,2020-01-21 00:34:19.137874+00
5879103,0,2020-01-21 00:34:19.142462+00
5879105,0,2020-01-21 00:34:19.150036+00
5879110,0,2020-01-21 00:34:19.171729+00
5879083,0,2020-01-21 00:34:19.180859+00
5879113,0,2020-01-21 00:34:19.235841+00
5879112,0,2020-01-21 00:34:19.239281+00
5879114,0,2020-01-21 00:34:19.248969+00
5879115,0,2020-01-21 00:34:19.257802+00
5879116,0,2020-01-21 00:34:19.266496+00
5879132,0,2020-01-21 00:34:19.292018+00
5879119,0,2020-01-21 00:34:19.298543+00
5879128,0,2020-01-21 00:34:19.298877+00
5879118,0,2020-01-21 00:34:19.301687+00
5879121,0,2020-01-21 00:34:19.304026+00
5879136,0,2020-01-21 00:34:19.307355+00
5879125,0,2020-01-21 00:34:19.310035+00
5879140,0,2020-01-21 00:34:19.311725+00
5879138,0,2020-01-21 00:34:19.31209+00
5879141,0,2020-01-21 00:34:19.317611+00
5879143,0,2020-01-21 00:34:19.358939+00
5879147,0,2020-01-21 00:34:19.370071+00
5879150,0,2020-01-21 00:34:19.405985+00
5879148,0,2020-01-21 00:34:19.411454+00
5879149,0,2020-01-21 00:34:19.412462+00
5879153,0,2020-01-21 00:34:19.420575+00
5879152,0,2020-01-21 00:34:19.424006+00
5879155,0,2020-01-21 00:34:19.430147+00
5879156,0,2020-01-21 00:34:19.430339+00
5879135,0,2020-01-21 00:34:19.432422+00
5879157,0,2020-01-21 00:34:19.44564+00
5879158,0,2020-01-21 00:34:19.452392+00
5879160,0,2020-01-21 00:34:19.4528+00
5879162,0,2020-01-21 00:34:19.465046+00
5879163,0,2020-01-21 00:34:19.468027+00
5879166,0,2020-01-21 00:34:19.488965+00
5879167,0,2020-01-21 00:34:19.493964+00
5879165,0,2020-01-21 00:34:19.494131+00
5879164,0,2020-01-21 00:34:19.494305+00
5879145,0,2020-01-21 00:34:19.495382+00
5879168,0,2020-01-21 00:34:19.497923+00
5879146,0,2020-01-21 00:34:19.499078+00
5879169,0,2020-01-21 00:34:19.50629+00
5879173,0,2020-01-21 00:34:19.545238+00
5879174,0,2020-01-21 00:34:19.570834+00
5879159,0,2020-01-21 00:34:19.57631+00
5879177,0,2020-01-21 00:34:19.587582+00
5879178,0,2020-01-21 00:34:19.604713+00
5879181,0,2020-01-21 00:34:19.623725+00
5879183,0,2020-01-21 00:34:19.629253+00
5879191,0,2020-01-21 00:34:19.657325+00
5879190,0,2020-01-21 00:34:19.662652+00
5879192,0,2020-01-21 00:34:19.690884+00
5879193,0,2020-01-21 00:34:19.703933+00
5879195,0,2020-01-21 00:34:19.709686+00
5879196,0,2020-01-21 00:34:19.728848+00
5879198,0,2020-01-21 00:34:19.735214+00
5879202,0,2020-01-21 00:34:19.74261+00
5879204,0,2020-01-21 00:34:19.744233+00
5879207,0,2020-01-21 00:34:19.766859+00
5879184,0,2020-01-21 00:34:19.768181+00
5879208,0,2020-01-21 00:34:19.77426+00
5879210,11,2020-01-21 00:34:19.806903+00
5879211,0,2020-01-21 00:34:19.80716+00
5879228,0,2020-01-21 00:34:19.871941+00
5879225,0,2020-01-21 00:34:19.872336+00
5879227,0,2020-01-21 00:34:19.87263+00
5879226,0,2020-01-21 00:34:19.872994+00
5879229,0,2020-01-21 00:34:19.87675+00
5879223,0,2020-01-21 00:34:19.877838+00
5879230,0,2020-01-21 00:34:19.884894+00
5879232,0,2020-01-21 00:34:19.911277+00
5879235,0,2020-01-21 00:34:19.918463+00
5879237,0,2020-01-21 00:34:19.933087+00
5879236,0,2020-01-21 00:34:19.93366+00
5879218,0,2020-01-21 00:34:19.958392+00
5879240,0,2020-01-21 00:34:20.091269+00
5879241,0,2020-01-21 00:34:20.09248+00
5879242,0,2020-01-21 00:34:20.096046+00
5879245,0,2020-01-21 00:34:20.103942+00
5879249,0,2020-01-21 00:34:20.126946+00
5879256,0,2020-01-21 00:34:20.133305+00
5879266,0,2020-01-21 00:34:20.200415+00
5879254,0,2020-01-21 00:34:20.201129+00
5879267,0,2020-01-21 00:34:20.215261+00
5879269,0,2020-01-21 00:34:20.237271+00
5879270,0,2020-01-21 00:34:20.251762+00
5879252,0,2020-01-21 00:34:20.257294+00
5879271,0,2020-01-21 00:34:20.279875+00
5879273,0,2020-01-21 00:34:20.321184+00
5879275,0,2020-01-21 00:34:20.332742+00
5879274,0,2020-01-21 00:34:20.333192+00
5879276,0,2020-01-21 00:34:20.336691+00
5879280,0,2020-01-21 00:34:20.338208+00
5879279,0,2020-01-21 00:34:20.342482+00
5879278,0,2020-01-21 00:34:20.343508+00
5879281,0,2020-01-21 00:34:20.347551+00
5879284,0,2020-01-21 00:34:20.35126+00
5879285,0,2020-01-21 00:34:20.351685+00
5879283,0,2020-01-21 00:34:20.352192+00
5879287,0,2020-01-21 00:34:20.358688+00
5879289,0,2020-01-21 00:34:20.359838+00
5879291,0,2020-01-21 00:34:20.360738+00
5879293,0,2020-01-21 00:34:20.360988+00
5879296,0,2020-01-21 00:34:20.378238+00
5879294,0,2020-01-21 00:34:20.38056+00
5879295,0,2020-01-21 00:34:20.382477+00
5879297,0,2020-01-21 00:34:20.382747+00
5879298,0,2020-01-21 00:34:20.394135+00
5879299,0,2020-01-21 00:34:20.416753+00
5879301,0,2020-01-21 00:34:20.453185+00
5879302,0,2020-01-21 00:34:20.457333+00
5879292,0,2020-01-21 00:34:20.474172+00
5879303,0,2020-01-21 00:34:20.490637+00
5879304,0,2020-01-21 00:34:20.494113+00
5879305,0,2020-01-21 00:34:20.495215+00
5879309,0,2020-01-21 00:34:20.512826+00
5879307,0,2020-01-21 00:34:20.513294+00
5879310,0,2020-01-21 00:34:20.524611+00
5879311,0,2020-01-21 00:34:20.531897+00
5879312,0,2020-01-21 00:34:20.535029+00
5879313,0,2020-01-21 00:34:20.543298+00
5879314,0,2020-01-21 00:34:20.554467+00
5879315,0,2020-01-21 00:34:20.556366+00
5879316,0,2020-01-21 00:34:20.562301+00
5879317,0,2020-01-21 00:34:20.569808+00
5879319,0,2020-01-21 00:34:20.576167+00
5879320,0,2020-01-21 00:34:20.592013+00
5879321,0,2020-01-21 00:34:20.598549+00
5879308,0,2020-01-21 00:34:20.628413+00
5879328,0,2020-01-21 00:34:20.630634+00
5879306,0,2020-01-21 00:34:20.631083+00
5879326,0,2020-01-21 00:34:20.632086+00
5879323,0,2020-01-21 00:34:20.632817+00
5879331,0,2020-01-21 00:34:20.645796+00
5879332,0,2020-01-21 00:34:20.651947+00
5879333,0,2020-01-21 00:34:20.654443+00
5879334,0,2020-01-21 00:34:20.6671+00
5879335,0,2020-01-21 00:34:20.676195+00
5879336,0,2020-01-21 00:34:20.689367+00
5879337,0,2020-01-21 00:34:20.691197+00
5879347,0,2020-01-21 00:34:20.722275+00
5879345,0,2020-01-21 00:34:20.722761+00
5879350,0,2020-01-21 00:34:20.735765+00
5879324,0,2020-01-21 00:34:20.754738+00
5879353,0,2020-01-21 00:34:20.769821+00
5879354,0,2020-01-21 00:34:20.777437+00
5879355,0,2020-01-21 00:34:20.779112+00
5879356,0,2020-01-21 00:34:20.781333+00
5879360,0,2020-01-21 00:34:20.801864+00
5879359,0,2020-01-21 00:34:20.818225+00
5879363,0,2020-01-21 00:34:20.830057+00
5879366,0,2020-01-21 00:34:20.848578+00
5879367,0,2020-01-21 00:34:20.858466+00
5879370,0,2020-01-21 00:34:20.879291+00
5879372,0,2020-01-21 00:34:20.880775+00
5879373,0,2020-01-21 00:34:20.885401+00
5879375,0,2020-01-21 00:34:20.905998+00
5879378,0,2020-01-21 00:34:20.917933+00
5879379,0,2020-01-21 00:34:20.918909+00
5879380,0,2020-01-21 00:34:20.921058+00
5879364,0,2020-01-21 00:34:20.946157+00
5879385,0,2020-01-21 00:34:20.958422+00
5879386,0,2020-01-21 00:34:20.962353+00
5879388,0,2020-01-21 00:34:20.974328+00
5879396,0,2020-01-21 00:34:21.01039+00
5879402,0,2020-01-21 00:34:21.023821+00
5879403,0,2020-01-21 00:34:21.028326+00
5879404,0,2020-01-21 00:34:21.034886+00
